Id,Like Count,Comment Count,retweet Count,View count,countOfWords,countOfPositive,countOfNegative,Art,Health,Politics,Science,Sport,C_Text__mysteries,C_Text__replying,T_Text__replying,T_Text__manchester,C_Text__manchester,T_Text__believe,T_Text__mark
168,9586,28,881,318100,27,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,8963,65,1211,1600000,13,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,46200,625,5182,6000000,9,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,28100,108,2603,1300000,12,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,6682,11,517,139800,18,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3716255791564238,0.0
173,20200,71,1302,879800,20,2,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,8765,6,1165,240600,9,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,770,7,125,15100,10,2,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,24300,17,2884,551700,6,2,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,821,3,78,73200,22,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,1542,83,153,94500,12,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,2208,240,463,740700,13,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,301,113,35,10300,9,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,467,122,166,7251,6,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,95,2,18,3405,13,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5494325573037743,0.0
183,57,9,8,108,7,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,331,5,40,6986,10,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,2164,6,526,112200,4,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,108,122,29,2587,11,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,71,2,6,2930,19,2,2,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,1,0,0,248461,17,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,0,0,0,248461,30,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,0,0,0,248461,18,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,0,0,0,1,14,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,0,1,0,3,4,2,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,5,0,30,23,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,1,0,1,24,6,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,0,0,0,248461,15,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,0,1,0,27,10,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,1,0,0,29,12,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,0,0,0,25,15,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,0,0,0,17,19,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,2,1,2,159,13,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,5,0,0,158,19,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,2,1,0,48,17,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,16,1,5,459,41,1,3,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,1,0,0,22,10,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,0,0,0,23,13,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,49,10,21,2596,7,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,457,24,80,15000,41,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,206,3,108,6393,8,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,222,14,267,10000,5,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,3224,19,1019,175000,39,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
